Date,Open,High,Low,Close,Adj Close,Volume
2022-01-12,1768.400024,1809.599976,1768.400024,1806.400024,1742.127808,22162823
2022-01-13,1799.800049,1813.199951,1792.599976,1806.199951,1741.934814,13064341
2022-01-14,1809.400024,1832.199951,1800.199951,1820.599976,1755.822510,16149387
2022-01-17,1822.800049,1844.000000,1813.199951,1842.800049,1777.232666,15059522
2022-01-18,1849.199951,1889.400024,1844.800049,1872.199951,1805.586426,21534091
2022-01-19,1872.199951,1886.000000,1849.800049,1869.400024,1802.886108,21852392
2022-01-20,1874.599976,1874.800049,1810.400024,1838.400024,1772.989136,26399527
2022-01-21,1820.400024,1835.199951,1787.199951,1807.400024,1743.092163,14771039
2022-01-24,1798.400024,1815.800049,1733.800049,1747.199951,1685.034058,53705254
2022-01-25,1766.199951,1811.199951,1749.400024,1810.800049,1746.371216,27968469
2022-01-26,1838.199951,1912.199951,1834.599976,1912.199951,1844.163208,38802745
2022-01-27,1884.000000,1945.000000,1862.800049,1919.199951,1850.914185,31658142
2022-01-28,1916.000000,1917.800049,1877.599976,1895.199951,1827.768066,31360872
2022-01-31,1910.000000,1919.000000,1874.800049,1886.599976,1819.474121,8153468
2022-02-01,1898.400024,1946.599976,1895.599976,1946.599976,1877.339233,8692774
2022-02-02,1947.400024,1957.036011,1921.000000,1932.400024,1863.644531,12044193
2022-02-03,1968.800049,1973.800049,1934.000000,1960.000000,1890.262573,21868899
2022-02-04,2000.000000,2041.000000,1989.599976,2037.000000,1964.522827,20565060
2022-02-07,2037.500000,2075.500000,2024.000000,2061.500000,1988.151123,31177267
2022-02-08,2047.000000,2080.000000,1993.599976,1996.000000,1924.981689,34154866
2022-02-09,2001.000000,2039.000000,1976.800049,2028.000000,1955.843018,14058788
2022-02-10,1998.800049,2040.702026,1995.000000,2018.500000,1946.681030,22355253
2022-02-11,1997.599976,2049.500000,1994.000000,2039.000000,1966.451660,15497829
2022-02-14,2030.000000,2045.000000,1988.000000,2005.500000,1934.143677,13697109
2022-02-15,2000.000000,2012.500000,1949.199951,1984.000000,1913.408569,29779779
2022-02-16,1989.800049,2027.000000,1983.800049,2023.500000,1951.503174,28571334
2022-02-17,1996.599976,2008.000000,1952.199951,1969.400024,1916.642822,15649572
2022-02-18,1972.199951,1994.199951,1948.599976,1957.000000,1904.574951,53226493
2022-02-21,1956.599976,1972.000000,1932.400024,1944.199951,1892.117920,26743871
2022-02-22,1954.599976,1999.800049,1944.199951,1954.599976,1902.239258,21582887
2022-02-23,1939.199951,1963.800049,1928.719971,1943.199951,1891.144531,16512673
2022-02-24,1940.800049,2031.500000,1906.800049,1952.800049,1900.487549,59734951
2022-02-25,1931.400024,2012.500000,1928.189941,2000.500000,1946.909668,30292765
2022-02-28,2018.000000,2019.500000,1925.599976,1972.000000,1919.173218,30758831
2022-03-01,1947.400024,1986.400024,1927.199951,1951.000000,1898.735718,28305404
2022-03-02,1972.199951,2064.000000,1968.800049,2047.500000,1992.650513,29579832
2022-03-03,2057.000000,2079.500000,1930.199951,1930.199951,1878.492798,33730815
2022-03-04,1922.599976,1925.800049,1833.400024,1833.400024,1784.286011,38075813
2022-03-07,1854.800049,1999.400024,1853.400024,1981.000000,1927.932007,44658036
2022-03-08,1979.599976,2053.500000,1951.400024,2039.500000,1984.864868,30496164
2022-03-09,2059.500000,2068.500000,1979.199951,2004.500000,1950.802490,42261024
2022-03-10,1985.000000,2012.500000,1948.000000,1955.800049,1903.407104,26208821
2022-03-11,1985.599976,2020.000000,1940.400024,1963.599976,1910.998169,29522526
2022-03-14,1955.400024,1959.000000,1910.199951,1926.800049,1875.183960,26819608
2022-03-15,1884.000000,1940.800049,1871.199951,1940.000000,1888.030396,33783377
2022-03-16,1954.199951,1965.599976,1897.000000,1903.599976,1852.605469,22226989
2022-03-17,1908.400024,1965.400024,1897.800049,1965.400024,1912.750000,25658316
2022-03-18,1958.000000,1960.199951,1917.800049,1941.800049,1889.782104,38356956
2022-03-21,1959.599976,2028.000000,1954.199951,2020.500000,1966.373901,29667833
2022-03-22,2039.500000,2047.500000,1999.599976,2007.500000,1953.722046,27410289
2022-03-23,2015.000000,2090.248047,2012.000000,2085.000000,2029.146118,35208023
2022-03-24,2091.000000,2113.050049,2074.000000,2081.000000,2025.253174,35081465
2022-03-25,2076.000000,2122.500000,2055.500000,2110.500000,2053.962891,25600441
2022-03-28,2079.000000,2118.500000,2059.500000,2061.500000,2006.275513,18334330
2022-03-29,2072.000000,2113.500000,2009.000000,2022.000000,1967.833740,24886605
2022-03-30,2050.000000,2114.500000,2048.500000,2111.500000,2054.936279,27576785
2022-03-31,2084.500000,2121.500000,2076.000000,2108.500000,2052.016602,27422464
2022-04-01,2092.500000,2121.000000,2082.500000,2119.500000,2062.721924,23746500
2022-04-04,2120.000000,2137.000000,2102.000000,2116.000000,2059.315674,31493888
2022-04-05,2123.500000,2132.500000,2092.858887,2121.000000,2064.181396,30037972
2022-04-06,2124.500000,2142.000000,2119.500000,2131.500000,2074.400391,30445059
2022-04-07,2103.500000,2122.000000,2078.000000,2086.000000,2030.119141,32360312
2022-04-08,2125.000000,2168.500000,2105.000000,2168.000000,2109.922607,20149288
2022-04-11,2154.000000,2176.500000,2127.500000,2135.000000,2077.806641,14785163
2022-04-12,2132.500000,2177.000000,2120.000000,2165.500000,2107.489258,32918440
2022-04-13,2157.000000,2203.500000,2156.500000,2182.000000,2123.547363,23058254
2022-04-14,2177.000000,2199.000000,2164.000000,2192.000000,2133.279785,18969125
2022-04-19,2203.000000,2259.500000,2199.000000,2228.000000,2168.315186,37456700
2022-04-20,2232.500000,2237.500000,2202.500000,2208.000000,2148.851074,33788460
2022-04-21,2236.000000,2236.000000,2200.543945,2222.000000,2162.475830,50457293
